epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9237,1.77634,1.88846,1.40145,0.57764,0.54762,0.5211,0.22991,1.79195,2.36583,1.87908,0.00055435,0.00055435,0.00055435
2,88.2783,1.72277,1.48143,1.39393,0.70671,0.62662,0.68544,0.32321,1.74302,1.96104,1.83879,0.00108804,0.00108804,0.00108804
3,129.264,1.71062,1.39906,1.39208,0.72409,0.60659,0.69099,0.32753,1.90422,1.89253,1.96597,0.00159972,0.00159972,0.00159972
4,169.537,1.68719,1.31276,1.36796,0.7438,0.64883,0.71637,0.32427,1.73854,1.66305,1.80753,0.00156798,0.00156798,0.00156798
5,209.701,1.63175,1.23791,1.34689,0.75657,0.68731,0.75064,0.3726,1.67729,1.72975,1.77196,0.00153497,0.00153497,0.00153497
6,249.726,1.62086,1.20781,1.34116,0.77431,0.70225,0.76982,0.3793,1.64524,1.60883,1.73013,0.00150197,0.00150197,0.00150197
7,290.172,1.58607,1.14523,1.31307,0.79274,0.69933,0.79056,0.40266,1.61864,1.43441,1.72278,0.00146896,0.00146896,0.00146896
8,330.616,1.57651,1.13636,1.30891,0.79875,0.72892,0.81389,0.41516,1.51633,1.42424,1.6212,0.00143595,0.00143595,0.00143595
9,370.914,1.54754,1.10337,1.29259,0.82641,0.72858,0.80891,0.4269,1.53708,1.3482,1.66114,0.00140295,0.00140295,0.00140295
10,410.997,1.53498,1.08588,1.28691,0.81599,0.71791,0.81284,0.42656,1.52287,1.36482,1.60895,0.00136994,0.00136994,0.00136994
11,451.021,1.52677,1.06712,1.28009,0.81398,0.74063,0.82644,0.43578,1.4661,1.29742,1.56642,0.00133693,0.00133693,0.00133693
12,491.228,1.5134,1.0538,1.27644,0.83749,0.74494,0.83443,0.42674,1.61749,1.28471,1.66705,0.00130393,0.00130393,0.00130393
13,531.758,1.49759,1.0303,1.2635,0.82062,0.74178,0.82159,0.44928,1.40681,1.35646,1.55681,0.00127092,0.00127092,0.00127092
