epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,572.207,1.48656,1.02202,1.25978,0.84942,0.7461,0.8474,0.46222,1.4442,1.20792,1.56075,0.00123791,0.00123791,0.00123791
15,612.724,1.47854,0.99276,1.25065,0.82895,0.73901,0.82686,0.43627,1.49377,1.33395,1.59246,0.00120491,0.00120491,0.00120491
16,652.896,1.46586,0.98313,1.24666,0.84708,0.75523,0.84918,0.46486,1.42905,1.19614,1.55472,0.0011719,0.0011719,0.0011719
17,693.188,1.45885,0.98182,1.24449,0.85472,0.76011,0.8496,0.45201,1.45418,1.16948,1.53548,0.00113889,0.00113889,0.00113889
18,733.309,1.44588,0.96041,1.23239,0.85629,0.76888,0.85915,0.4726,1.40133,1.12983,1.52863,0.00110589,0.00110589,0.00110589
19,773.54,1.44303,0.95676,1.23073,0.85837,0.77337,0.86143,0.48401,1.35321,1.09986,1.49458,0.00107288,0.00107288,0.00107288
20,813.896,1.43841,0.94463,1.22948,0.84061,0.78228,0.86053,0.48293,1.33574,1.11422,1.47663,0.00103987,0.00103987,0.00103987
21,854.336,1.42669,0.93324,1.22038,0.84558,0.79023,0.86674,0.48881,1.33993,1.09594,1.46892,0.00100687,0.00100687,0.00100687
22,894.993,1.423,0.91964,1.21629,0.86198,0.77178,0.86322,0.47823,1.33773,1.08503,1.45428,0.000973861,0.000973861,0.000973861
23,935.349,1.41272,0.91231,1.20945,0.85143,0.78169,0.86826,0.48938,1.32009,1.05884,1.45236,0.000940855,0.000940855,0.000940855
24,975.806,1.39798,0.90628,1.20786,0.85677,0.77055,0.86483,0.48912,1.32887,1.0673,1.45833,0.000907848,0.000907848,0.000907848
25,1015.92,1.39868,0.89802,1.205,0.8695,0.77545,0.87321,0.49201,1.34193,1.04999,1.45765,0.000874842,0.000874842,0.000874842
26,1056.14,1.38253,0.88305,1.19732,0.8705,0.78744,0.87877,0.50059,1.31794,0.9959,1.46296,0.000841835,0.000841835,0.000841835
27,1096.82,1.3886,0.88819,1.20543,0.86036,0.80251,0.8788,0.50313,1.30914,0.98233,1.44148,0.000808828,0.000808828,0.000808828
28,1137.41,1.37734,0.86858,1.19313,0.87806,0.78126,0.87963,0.50232,1.27891,0.99476,1.41216,0.000775822,0.000775822,0.000775822
29,1177.29,1.37305,0.86672,1.19063,0.86575,0.79018,0.87887,0.5105,1.23774,0.98089,1.39215,0.000742815,0.000742815,0.000742815
30,1217.58,1.37869,0.86234,1.18908,0.8681,0.80608,0.88561,0.51739,1.23597,0.95583,1.3863,0.000709809,0.000709809,0.000709809
31,1257.67,1.36147,0.8562,1.18635,0.86585,0.79391,0.87825,0.50878,1.24652,0.98119,1.38426,0.000676802,0.000676802,0.000676802
32,1297.65,1.34981,0.84497,1.18252,0.87859,0.79067,0.88487,0.51601,1.20937,0.94705,1.36565,0.000643795,0.000643795,0.000643795
33,1338.07,1.34473,0.83542,1.17857,0.87348,0.80306,0.88503,0.5157,1.2466,0.94917,1.38141,0.000610789,0.000610789,0.000610789
34,1378.72,1.33677,0.82835,1.17409,0.86952,0.80946,0.88809,0.51827,1.22542,0.92833,1.3731,0.000577782,0.000577782,0.000577782
35,1418.92,1.33578,0.82586,1.17331,0.85931,0.82149,0.8899,0.52543,1.2374,0.89521,1.37933,0.000544776,0.000544776,0.000544776
36,1459.24,1.33603,0.81971,1.16909,0.87367,0.81834,0.89422,0.52505,1.23848,0.88375,1.37188,0.000511769,0.000511769,0.000511769
37,1499.28,1.32275,0.81272,1.16517,0.8822,0.8037,0.89086,0.52869,1.20295,0.881,1.34006,0.000478762,0.000478762,0.000478762
38,1539.73,1.32379,0.81309,1.162,0.88245,0.8073,0.89535,0.53233,1.19301,0.86385,1.34627,0.000445756,0.000445756,0.000445756
39,1580.13,1.31405,0.79385,1.15752,0.88639,0.80661,0.89472,0.52895,1.19907,0.8571,1.34167,0.000412749,0.000412749,0.000412749
40,1620.47,1.30974,0.79446,1.15629,0.86514,0.81985,0.893,0.52745,1.17871,0.86893,1.32737,0.000379743,0.000379743,0.000379743
41,1661.44,1.31176,0.70784,1.15989,0.87785,0.81237,0.89438,0.5319,1.18911,0.86395,1.34951,0.000346736,0.000346736,0.000346736
42,1700.45,1.29582,0.69332,1.15102,0.88126,0.82346,0.8992,0.53266,1.17787,0.84687,1.32491,0.000313729,0.000313729,0.000313729
43,1739.68,1.28524,0.6831,1.14569,0.88484,0.81911,0.9018,0.53907,1.1595,0.82676,1.31259,0.000280723,0.000280723,0.000280723
