epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,196.282,0.61289,1.13796,0.46657,1.05006,0,0.91641,0.9,0.92484,0.72528,0.92424,0.90769,0.93046,0.73725,0.79785,1.06825,0.58548,1.31202,0,0.0009308,0.0009308,0.0009308
29,203.217,0.6274,1.12559,0.46232,1.04732,0,0.9179,0.88462,0.92067,0.72136,0.93775,0.90769,0.94005,0.75695,0.79027,1.0051,0.55242,1.32706,0,0.0008912,0.0008912,0.0008912
30,210.461,0.59827,1.06234,0.45449,1.03392,0,0.9184,0.86923,0.87857,0.67372,0.90578,0.86154,0.87201,0.71406,0.85046,1.09491,0.62279,1.38442,0,0.0008516,0.0008516,0.0008516
31,217.48,0.60661,1.10905,0.4617,1.04595,0,0.89651,0.86629,0.90445,0.70557,0.92039,0.88937,0.91285,0.74443,0.84168,1.06527,0.57822,1.37264,0,0.000812,0.000812,0.000812
32,224.462,0.57658,1.06272,0.43594,1.02594,0,0.92608,0.87692,0.90827,0.72428,0.91417,0.9013,0.92101,0.74806,0.79969,1.0382,0.53422,1.33109,0,0.0007724,0.0007724,0.0007724
33,231.375,0.5952,1.06047,0.43956,1.04104,0,0.918,0.87692,0.92504,0.75062,0.92282,0.86923,0.92939,0.76676,0.76038,0.97815,0.52139,1.32033,0,0.0007328,0.0007328,0.0007328
34,238.379,0.57133,1.01439,0.41928,1.02848,0,0.92673,0.87562,0.91344,0.71814,0.93487,0.88331,0.91656,0.74126,0.76082,1.05945,0.57157,1.33485,0,0.0006932,0.0006932,0.0006932
35,245.331,0.58022,1.03794,0.42931,1.02666,0,0.90433,0.88462,0.91418,0.70651,0.9122,0.89231,0.90354,0.74812,0.79362,1.02169,0.58256,1.34056,0,0.0006536,0.0006536,0.0006536
36,252.182,0.56276,0.99504,0.41611,1.01749,0,0.95397,0.85385,0.90838,0.73088,0.93227,0.89231,0.91716,0.75638,0.71306,1.0102,0.5447,1.27973,0,0.000614,0.000614,0.000614
37,258.952,0.55468,1.02476,0.4151,1.01101,0,0.92451,0.84783,0.90179,0.72173,0.93388,0.86922,0.90293,0.73564,0.76156,1.03996,0.55555,1.33584,0,0.0005744,0.0005744,0.0005744
38,265.998,0.55035,1.02681,0.4094,1.00986,0,0.90494,0.92308,0.92386,0.72785,0.90494,0.92308,0.92725,0.76552,0.7376,0.98666,0.54485,1.29793,0,0.0005348,0.0005348,0.0005348
39,272.963,0.53334,0.97792,0.39917,1.00404,0,0.9166,0.89231,0.91428,0.70992,0.9245,0.9,0.92526,0.75196,0.79351,1.07977,0.56361,1.31433,0,0.0004952,0.0004952,0.0004952
40,279.906,0.53669,1.00247,0.40001,1.01638,0,0.92858,0.90012,0.92504,0.73974,0.92794,0.91538,0.92757,0.76737,0.74913,0.95314,0.47678,1.32918,0,0.0004556,0.0004556,0.0004556
41,287.238,0.46015,0.79866,0.34191,1.02677,0,0.97412,0.86871,0.92673,0.72821,0.90654,0.91538,0.93223,0.76374,0.77122,0.98267,0.5366,1.33414,0,0.000416,0.000416,0.000416
42,294.337,0.43367,0.78246,0.31505,1.00543,0,0.93376,0.86744,0.92664,0.75507,0.91892,0.89231,0.929,0.77932,0.72381,0.97883,0.50998,1.26149,0,0.0003764,0.0003764,0.0003764
43,301.559,0.42585,0.74454,0.31324,0.99875,0,0.93609,0.9,0.92295,0.73846,0.93605,0.90769,0.91968,0.76656,0.74361,0.98469,0.50142,1.333,0,0.0003368,0.0003368,0.0003368
44,308.454,0.42228,0.76365,0.30624,0.9945,0,0.94249,0.88462,0.92196,0.75435,0.92842,0.89799,0.93136,0.77362,0.71522,0.96931,0.49649,1.28773,0,0.0002972,0.0002972,0.0002972
45,315.261,0.41352,0.73096,0.29571,0.97058,0,0.94823,0.87692,0.91999,0.74929,0.91982,0.9,0.92499,0.77898,0.74422,0.94352,0.4854,1.30245,0,0.0002576,0.0002576,0.0002576
46,322.035,0.39241,0.70069,0.2771,0.96703,0,0.94261,0.88441,0.93415,0.76257,0.92802,0.9,0.93535,0.78313,0.7277,0.97245,0.46134,1.30747,0,0.000218,0.000218,0.000218
47,329.055,0.39487,0.71797,0.28355,0.97055,0,0.95776,0.87219,0.93433,0.76049,0.93528,0.88926,0.93687,0.78433,0.71278,0.96714,0.45914,1.30036,0,0.0001784,0.0001784,0.0001784
48,335.933,0.38663,0.66179,0.27739,0.96738,0,0.92122,0.89952,0.93249,0.75523,0.92122,0.89952,0.93295,0.77828,0.7085,0.97523,0.46338,1.28806,0,0.0001388,0.0001388,0.0001388
49,342.878,0.36606,0.66796,0.25755,0.96409,0,0.97399,0.86427,0.94029,0.76955,0.93526,0.88901,0.93926,0.78836,0.69986,0.97358,0.45073,1.2984,0,9.92e-05,9.92e-05,9.92e-05
50,349.798,0.36227,0.66315,0.26307,0.94947,0,0.94194,0.89231,0.93925,0.76536,0.94194,0.89231,0.94033,0.78883,0.72047,0.98224,0.46557,1.30075,0,5.96e-05,5.96e-05,5.96e-05
